module,module_id,asset_id,asset_name,source_concept,source_bbox_xywh,output_file,size_px,game_usage,code_entry,status,note
主界面,02_main_lobby,main_card_signin,每日签到卡片,美术开发/概念图/02_主界面_main_lobby.png,"470,645,435,365",美术开发/资产拆分/02_main_lobby/05_main_card_signin.png,435x365,每日签到入口,js/ui/sceneMain.js,concept_crop_v1,sceneMain signIn按钮视觉升级
主界面,02_main_lobby,main_current_team_strip,当前队伍面板,美术开发/概念图/02_主界面_main_lobby.png,"30,1010,885,340",美术开发/资产拆分/02_main_lobby/06_main_current_team_strip.png,885x340,当前队伍展示,js/ui/sceneMain.js,concept_crop_v1,可拆队伍槽/怪物卡/调整按钮
主界面,02_main_lobby,main_bottom_nav,底部功能导航,美术开发/概念图/02_主界面_main_lobby.png,"35,1360,875,210",美术开发/资产拆分/02_main_lobby/07_main_bottom_nav.png,875x210,商店/背包/成就/设置,js/ui/sceneMain.js,concept_crop_v1,替换底部小按钮emoji
主界面,02_main_lobby,main_element_footer,底部元素装饰条,美术开发/概念图/02_主界面_main_lobby.png,"70,1570,800,90",美术开发/资产拆分/02_main_lobby/08_main_element_footer.png,800x90,元素图标装饰,js/ui/sceneMain.js,concept_crop_v1,可拆五元素小图标
关卡地图,03_stage_select,stage_top_header,章节顶部栏,美术开发/概念图/03_关卡地图_stage_select.png,"0,0,941,165",美术开发/资产拆分/03_stage_select/01_stage_top_header.png,941x165,章节标题/返回/星数,js/ui/sceneStageSelect.js,concept_crop_v1,替换当前简单标题栏
关卡地图,03_stage_select,stage_map_full,草原章节地图,美术开发/概念图/03_关卡地图_stage_select.png,"0,150,941,1185",美术开发/资产拆分/03_stage_select/02_stage_map_full.png,941x1185,章节地图底图,js/ui/sceneStageSelect.js,concept_crop_v1,后续按章节出多张地图背景
关卡地图,03_stage_select,stage_boss_node,Boss关卡节点,美术开发/概念图/03_关卡地图_stage_select.png,"645,185,270,290",美术开发/资产拆分/03_stage_select/03_stage_boss_node.png,270x290,Boss关卡入口,js/ui/sceneStageSelect.js,concept_crop_v1,可拆Boss章节点徽章
关卡地图,03_stage_select,stage_treasure_node,宝箱关卡节点,美术开发/概念图/03_关卡地图_stage_select.png,"465,180,170,175",美术开发/资产拆分/03_stage_select/04_stage_treasure_node.png,170x175,宝箱关卡入口,js/ui/sceneStageSelect.js,concept_crop_v1,奖励关卡节点
关卡地图,03_stage_select,stage_elite_crystal_node,精英水晶节点,美术开发/概念图/03_关卡地图_stage_select.png,"355,625,170,210",美术开发/资产拆分/03_stage_select/05_stage_elite_crystal_node.png,170x210,精英关卡入口,js/ui/sceneStageSelect.js,concept_crop_v1,elite关卡节点
关卡地图,03_stage_select,stage_normal_node_sample,普通关卡节点样例,美术开发/概念图/03_关卡地图_stage_select.png,"70,1010,145,155",美术开发/资产拆分/03_stage_select/06_stage_normal_node_sample.png,145x155,普通关卡入口,js/ui/sceneStageSelect.js,concept_crop_v1,普通节点/星级样式
关卡地图,03_stage_select,stage_reward_panel,通关奖励面板,美术开发/概念图/03_关卡地图_stage_select.png,"15,1335,910,305",美术开发/资产拆分/03_stage_select/07_stage_reward_panel.png,910x305,关卡奖励预览,js/ui/sceneStageSelect.js,concept_crop_v1,可拆奖励卡槽和物品图标
三消战斗,04_battle_match3,battle_top_status,顶部战斗状态栏,美术开发/概念图/04_三消战斗_battle_match3.png,"15,20,910,210",美术开发/资产拆分/04_battle_match3/01_battle_top_status.png,910x210,回合/敌方HP/设置,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,对应SceneBattle顶部UI
三消战斗,04_battle_match3,battle_enemy_area,敌方Boss战斗区,美术开发/概念图/04_三消战斗_battle_match3.png,"145,120,660,390",美术开发/资产拆分/04_battle_match3/02_battle_enemy_area.png,660x390,敌方怪物展示,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,Boss立绘需重绘透明Sprite
三消战斗,04_battle_match3,battle_player_cards,我方队伍状态卡,美术开发/概念图/04_三消战斗_battle_match3.png,"20,515,900,230",美术开发/资产拆分/04_battle_match3/03_battle_player_cards.png,900x230,我方怪物HP/技能,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,替换队伍卡片emoji
三消战斗,04_battle_match3,battle_board_full,8x8三消棋盘,美术开发/概念图/04_三消战斗_battle_match3.png,"20,740,900,670",美术开发/资产拆分/04_battle_match3/04_battle_board_full.png,900x670,三消棋盘整体,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,对应Board渲染区；后续拆格子/宝石/特效
三消战斗,04_battle_match3,battle_combo_effect,连击消除特效,美术开发/概念图/04_三消战斗_battle_match3.png,"255,845,265,465",美术开发/资产拆分/04_battle_match3/05_battle_combo_effect.png,265x465,消除特效,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,可作为火属性连击动效参考
三消战斗,04_battle_match3,battle_locked_gem,锁定宝石样例,美术开发/概念图/04_三消战斗_battle_match3.png,"140,1200,110,110",美术开发/资产拆分/04_battle_match3/06_battle_locked_gem.png,110x110,锁定宝石,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,对应Board lockedGems
三消战斗,04_battle_match3,battle_rock_obstacle,石块障碍样例,美术开发/概念图/04_三消战斗_battle_match3.png,"690,980,110,110",美术开发/资产拆分/04_battle_match3/07_battle_rock_obstacle.png,110x110,障碍物,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,对应Board obstacles
三消战斗,04_battle_match3,battle_footer_score,底部得分能量栏,美术开发/概念图/04_三消战斗_battle_match3.png,"20,1425,900,215",美术开发/资产拆分/04_battle_match3/08_battle_footer_score.png,900x215,奖励/得分/能量,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,战斗底部信息区
三消战斗,04_battle_match3,gem_fire_sample,火宝石样例,美术开发/概念图/04_三消战斗_battle_match3.png,"30,760,100,100",美术开发/资产拆分/04_battle_match3/09_gem_fire_sample.png,100x100,fire gem,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,对应GEM_TYPES fire
三消战斗,04_battle_match3,gem_water_sample,水宝石样例,美术开发/概念图/04_三消战斗_battle_match3.png,"140,760,100,100",美术开发/资产拆分/04_battle_match3/10_gem_water_sample.png,100x100,water gem,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,对应GEM_TYPES water
三消战斗,04_battle_match3,gem_grass_sample,草宝石样例,美术开发/概念图/04_三消战斗_battle_match3.png,"250,760,100,100",美术开发/资产拆分/04_battle_match3/11_gem_grass_sample.png,100x100,grass gem,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,对应GEM_TYPES grass
三消战斗,04_battle_match3,gem_thunder_sample,雷宝石样例,美术开发/概念图/04_三消战斗_battle_match3.png,"360,760,100,100",美术开发/资产拆分/04_battle_match3/12_gem_thunder_sample.png,100x100,thunder gem,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,对应GEM_TYPES thunder
三消战斗,04_battle_match3,gem_light_sample,光宝石样例,美术开发/概念图/04_三消战斗_battle_match3.png,"580,760,100,100",美术开发/资产拆分/04_battle_match3/13_gem_light_sample.png,100x100,light gem,js/ui/sceneBattle.js + js/match3/board.js,concept_crop_v1,对应GEM_TYPES light
怪物图鉴,05_monster_album,album_top_tabs,标题与属性筛选栏,美术开发/概念图/05_怪物图鉴_monster_album.png,"20,15,900,175",美术开发/资产拆分/05_monster_album/01_album_top_tabs.png,900x175,图鉴标题/属性筛选,js/ui/sceneAlbum.js,concept_crop_v1,替换当前筛选标签
怪物图鉴,05_monster_album,album_monster_grid,怪物卡片网格,美术开发/概念图/05_怪物图鉴_monster_album.png,"25,180,890,730",美术开发/资产拆分/05_monster_album/02_album_monster_grid.png,890x730,怪物列表,js/ui/sceneAlbum.js,concept_crop_v1,3列卡片布局参考
怪物图鉴,05_monster_album,album_card_grass_sample,草系怪物卡样例,美术开发/概念图/05_怪物图鉴_monster_album.png,"30,190,280,230",美术开发/资产拆分/05_monster_album/03_album_card_grass_sample.png,280x230,怪物卡,js/ui/sceneAlbum.js,concept_crop_v1,可作为怪物卡模板
怪物图鉴,05_monster_album,album_card_locked_sample,锁定怪物卡样例,美术开发/概念图/05_怪物图鉴_monster_album.png,"610,685,285,230",美术开发/资产拆分/05_monster_album/04_album_card_locked_sample.png,285x230,未解锁怪物卡,js/ui/sceneAlbum.js,concept_crop_v1,锁定态样式
怪物图鉴,05_monster_album,album_detail_panel,怪物详情面板,美术开发/概念图/05_怪物图鉴_monster_album.png,"20,915,900,585",美术开发/资产拆分/05_monster_album/05_album_detail_panel.png,900x585,详情弹层,js/ui/sceneAlbum.js,concept_crop_v1,对应state=detail
怪物图鉴,05_monster_album,album_selected_portrait,选中怪物立绘区,美术开发/概念图/05_怪物图鉴_monster_album.png,"50,990,355,345",美术开发/资产拆分/05_monster_album/06_album_selected_portrait.png,355x345,怪物立绘,js/ui/sceneAlbum.js,concept_crop_v1,后续需透明立绘
怪物图鉴,05_monster_album,album_stats_block,属性数值条区域,美术开发/概念图/05_怪物图鉴_monster_album.png,"430,1010,430,310",美术开发/资产拆分/05_monster_album/07_album_stats_block.png,430x310,HP/ATK/DEF/SPD,js/ui/sceneAlbum.js,concept_crop_v1,对应怪物详情数值
怪物图鉴,05_monster_album,album_evolution_preview,进化预览条,美术开发/概念图/05_怪物图鉴_monster_album.png,"425,1340,430,130",美术开发/资产拆分/05_monster_album/08_album_evolution_preview.png,430x130,进化链预览,js/ui/sceneAlbum.js,concept_crop_v1,对应sceneEvolve入口
怪物图鉴,05_monster_album,album_bottom_nav,底部页签栏,美术开发/概念图/05_怪物图鉴_monster_album.png,"20,1510,900,135",美术开发/资产拆分/05_monster_album/09_album_bottom_nav.png,900x135,图鉴/羁绊/收藏,js/ui/sceneAlbum.js,concept_crop_v1,后续如保留多页签使用
队伍编成与进化,06_team_evolve,team_top_header,队伍标题栏,美术开发/概念图/06_队伍进化_team_evolve.png,"20,20,900,95",美术开发/资产拆分/06_team_evolve/01_team_top_header.png,900x95,返回/标题/帮助,js/ui/sceneTeamSetup.js + js/ui/sceneEvolve.js,concept_crop_v1,队伍页标题
队伍编成与进化,06_team_evolve,team_leader_card,队长卡,美术开发/概念图/06_队伍进化_team_evolve.png,"25,105,305,505",美术开发/资产拆分/06_team_evolve/02_team_leader_card.png,305x505,队长槽位,js/ui/sceneTeamSetup.js + js/ui/sceneEvolve.js,concept_crop_v1,对应leader slot
队伍编成与进化,06_team_evolve,team_member1_card,成员1卡,美术开发/概念图/06_队伍进化_team_evolve.png,"350,130,265,480",美术开发/资产拆分/06_team_evolve/03_team_member1_card.png,265x480,成员槽位1,js/ui/sceneTeamSetup.js + js/ui/sceneEvolve.js,concept_crop_v1,对应member1 slot
队伍编成与进化,06_team_evolve,team_member2_card,成员2卡,美术开发/概念图/06_队伍进化_team_evolve.png,"630,130,280,480",美术开发/资产拆分/06_team_evolve/04_team_member2_card.png,280x480,成员槽位2,js/ui/sceneTeamSetup.js + js/ui/sceneEvolve.js,concept_crop_v1,对应member2 slot
队伍编成与进化,06_team_evolve,team_power_banner,队伍战力与队长技能栏,美术开发/概念图/06_队伍进化_team_evolve.png,"25,620,895,120",美术开发/资产拆分/06_team_evolve/05_team_power_banner.png,895x120,队伍总战力/队长技能,js/ui/sceneTeamSetup.js + js/ui/sceneEvolve.js,concept_crop_v1,对应_calcTeamPower与leaderSkill
队伍编成与进化,06_team_evolve,team_evolution_preview,进化预览区域,美术开发/概念图/06_队伍进化_team_evolve.png,"20,735,900,365",美术开发/资产拆分/06_team_evolve/06_team_evolution_preview.png,900x365,进化预览,js/ui/sceneTeamSetup.js + js/ui/sceneEvolve.js,concept_crop_v1,对应sceneEvolve主视觉
队伍编成与进化,06_team_evolve,team_roster_filter,属性筛选与排序栏,美术开发/概念图/06_队伍进化_team_evolve.png,"20,1110,900,100",美术开发/资产拆分/06_team_evolve/07_team_roster_filter.png,900x100,怪物筛选,js/ui/sceneTeamSetup.js + js/ui/sceneEvolve.js,concept_crop_v1,可扩展sceneTeamSetup
队伍编成与进化,06_team_evolve,team_roster_grid,怪物列表网格,美术开发/概念图/06_队伍进化_team_evolve.png,"20,1200,900,330",美术开发/资产拆分/06_team_evolve/08_team_roster_grid.png,900x330,已收服怪物列表,js/ui/sceneTeamSetup.js + js/ui/sceneEvolve.js,concept_crop_v1,替换emoji列表卡片
队伍编成与进化,06_team_evolve,team_bottom_buttons,底部操作按钮,美术开发/概念图/06_队伍进化_team_evolve.png,"20,1535,900,125",美术开发/资产拆分/06_team_evolve/09_team_bottom_buttons.png,900x125,取消/保存/分解,js/ui/sceneTeamSetup.js + js/ui/sceneEvolve.js,concept_crop_v1,保存/取消按钮样式参考
